#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  32
# Band-Index    1
   1.75098     -1.388428     -1.388440
   1.79486     -1.323441     -1.323446
   1.83873     -1.251769     -1.251764
   1.88261     -1.174312     -1.174296
   1.92648     -1.092172     -1.092143
   1.97035     -1.006719     -1.006676
   2.01423     -0.919568     -0.919510
   2.05810     -0.832845     -0.832772
   2.10198     -0.748921     -0.748831
   2.14585     -0.670685     -0.670578
   2.18973     -0.601466     -0.601343
   2.23360     -0.544893     -0.544755
   2.27748     -0.505064     -0.504915
   2.27748     -0.505064     -0.504915
   2.36522     -0.617993     -0.617875
   2.45297     -0.839897     -0.839828
   2.54072     -1.161410     -1.161401
   2.62847     -1.559033     -1.559082
   2.71622     -2.005427     -2.005529
   2.80397     -2.476094     -2.476241
   2.89172     -2.951736     -2.951920
   2.97947     -3.417740     -3.417954
   3.06722     -3.863507     -3.863745
   3.15496     -4.182120     -4.182031
   3.24271     -3.781750     -3.781652
   3.33046     -3.384301     -3.384192
   3.41821     -3.013130     -3.013010
   3.50596     -2.677695     -2.677567
   3.59371     -2.387558     -2.387422
   3.68146     -2.151488     -2.151347
   3.76921     -1.976974     -1.976828
   3.85695     -1.869763     -1.869615
   3.94470     -1.826352     -1.826202
 
# Band-Index    8
   3.94470     -1.826324     -1.826174
   3.85695     -1.862452     -1.862303
   3.76921     -1.969330     -1.969183
   3.68146     -2.143498     -2.143356
   3.59371     -2.378929     -2.378792
   3.50596     -2.668181     -2.668052
   3.41821     -3.002502     -3.002381
   3.33046     -3.372450     -3.372339
   3.24271     -3.768618     -3.768518
   3.15496     -3.433446     -3.433609
   3.06722     -3.051813     -3.051953
   2.97947     -2.649132     -2.649244
   2.89172     -2.234643     -2.234722
   2.80397     -1.820935     -1.820975
   2.71622     -1.424805     -1.424799
   2.62847     -1.068485     -1.068429
   2.54072     -0.778316     -0.778211
   2.45297     -0.580438     -0.580296
   2.36522     -0.490613     -0.490456
   2.27748     -0.505063     -0.504914
   2.27748     -0.505063     -0.504914
   2.23360     -0.486931     -0.486776
   2.18973     -0.490753     -0.490596
   2.14585     -0.512872     -0.512717
   2.10198     -0.549691     -0.549542
   2.05810     -0.597424     -0.597282
   2.01423     -0.652790     -0.652658
   1.97035     -0.712823     -0.712700
   1.92648     -0.774996     -0.774883
   1.88261     -0.837179     -0.837074
   1.83873     -0.897596     -0.897500
   1.79486     -0.954886     -0.954798
   1.75098     -1.007689     -1.007608
   1.70711     -1.055116     -1.055041
   1.66323     -1.096403     -1.096333
   1.61936     -1.130928     -1.130862
   1.57548     -1.158247     -1.158185
   1.53161     -1.177999     -1.177939
   1.48774     -1.189937     -1.189879
   1.44386     -1.193987     -1.193929
   1.44386     -1.193987     -1.193929
   1.36787     -1.243668     -1.243619
   1.29188     -1.389893     -1.389867
   1.21588     -1.618436     -1.618443
   1.13989     -1.906192     -1.906234
   1.06390     -2.229338     -2.229413
   0.98791     -2.568669     -2.568774
   0.91191     -2.910005     -2.910135
   0.83592     -3.243139     -3.243291
   0.75993     -3.538775     -3.538655
   0.68393     -3.318709     -3.318586
   0.60794     -3.090211     -3.090084
   0.53195     -2.859036     -2.858906
   0.45596     -2.631930     -2.631796
   0.37996     -2.416814     -2.416676
   0.30397     -2.222356     -2.222214
   0.22798     -2.057851     -2.057705
   0.15199     -1.932200     -1.932052
   0.07599     -1.853241     -1.853091
   0.00000     -1.826324     -1.826174
 
# Band-Index    9
   0.00000      4.056383      4.055911
   0.07599      4.081370      4.080898
   0.15199      4.155079      4.154609
   0.22798      4.274342      4.273873
   0.30397      4.435316      4.434848
   0.37996      4.634505      4.634038
   0.45596      4.869281      4.868814
   0.53195      5.137608      5.137141
   0.60794      5.437953      5.437484
   0.68393      5.768664      5.768193
   0.75993      6.127607      6.127133
   0.83592      6.511515      6.511039
   0.91191      6.738542      6.738279
   0.98791      6.215968      6.215612
   1.06390      5.666530      5.666093
   1.13989      5.134185      5.133681
   1.21588      4.657723      4.657163
   1.29188      4.274735      4.274129
   1.36787      4.023257      4.022617
   1.44386      3.935040      3.934388
   1.44386      3.935040      3.934388
   1.48774      3.937361      3.936709
   1.53161      3.944072      3.943419
   1.57548      3.955012      3.954357
   1.61936      3.969751      3.969094
   1.66323      3.987708      3.987047
   1.70711      4.008156      4.007491
   1.75098      4.030147      4.029477
   1.79486      4.052645      4.051970
   1.83873      4.074494      4.073813
   1.88261      4.094451      4.093762
   1.92648      4.111350      4.110653
   1.97035      4.124195      4.123488
   2.01423      4.132361      4.131645
   2.05810      4.135822      4.135098
   2.10198      4.135387      4.134655
   2.14585      4.132875      4.132137
   2.18973      4.131219      4.130478
   2.23360      4.134336      4.133596
   2.27748      4.146684      4.145952
   2.27748      4.146684      4.145952
   2.36522      4.150607      4.149864
   2.45297      4.257782      4.257054
   2.54072      4.484627      4.483935
   2.62847      4.826727      4.826086
   2.71622      5.267357      5.266769
   2.80397      5.786242      5.785705
   2.89172      6.269688      6.269389
   2.97947      6.738792      6.738559
   3.06722      6.872200      6.871724
   3.15496      6.365122      6.364650
   3.24271      5.905912      5.905442
   3.33046      5.495091      5.494623
   3.41821      5.133018      5.132552
   3.50596      4.819975      4.819509
   3.59371      4.556599      4.556133
   3.68146      4.344619      4.344151
   3.76921      4.187347      4.186877
   3.85695      4.089651      4.089179
   3.94470      4.056383      4.055911
 
# Band-Index   10
   3.94470      8.056191      8.056256
   3.85695      8.064512      8.064577
   3.76921      8.087932      8.087996
   3.68146      8.120583      8.120647
   3.59371      8.151586      8.151647
   3.50596      8.164466      8.164517
   3.41821      8.135558      8.135592
   3.33046      8.037810      8.037814
   3.24271      7.847108      7.847066
   3.15496      7.556294      7.556193
   3.06722      7.177843      7.177676
   2.97947      6.985864      6.985421
   2.89172      6.364643      6.364155
   2.80397      5.799030      5.798665
   2.71622      5.351835      5.351402
   2.62847      4.951279      4.950775
   2.54072      4.618489      4.617913
   2.45297      4.371136      4.370492
   2.36522      4.217164      4.216465
   2.27748      4.146686      4.145954
   2.27748      4.146686      4.145954
   2.23360      4.173006      4.172286
   2.18973      4.211596      4.210890
   2.14585      4.257769      4.257079
   2.10198      4.307289      4.306615
   2.05810      4.356783      4.356124
   2.01423      4.403682      4.403038
   1.97035      4.446320      4.445689
   1.92648      4.483679      4.483058
   1.88261      4.515358      4.514747
   1.83873      4.541411      4.540809
   1.79486      4.562198      4.561602
   1.75098      4.578320      4.577730
   1.70711      4.590443      4.589857
   1.66323      4.599270      4.598687
   1.61936      4.605520      4.604941
   1.57548      4.609681      4.609104
   1.53161      4.612294      4.611718
   1.48774      4.613716      4.613141
   1.44386      4.614083      4.613508
   1.44386      4.614083      4.613508
   1.36787      4.690496      4.689932
   1.29188      4.908398      4.907864
   1.21588      5.241184      5.240690
   1.13989      5.658125      5.657671
   1.06390      6.133454      6.133034
   0.98791      6.651809      6.651409
   0.91191      6.915040      6.914561
   0.83592      7.196034      7.195858
   0.75993      7.567406      7.567304
   0.68393      7.842793      7.842751
   0.60794      8.023257      8.023259
   0.53195      8.121905      8.121936
   0.45596      8.159416      8.159465
   0.37996      8.157888      8.157946
   0.30397      8.135775      8.135838
   0.22798      8.106840      8.106904
   0.15199      8.080428      8.080493
   0.07599      8.062505      8.062570
   0.00000      8.056191      8.056256
 
# Band-Index   11
   0.00000     10.423523     10.422997
   0.07599     10.443206     10.442695
   0.15199     10.482126     10.481672
   0.22798     10.492064     10.491707
   0.30397     10.448931     10.448652
   0.37996     10.367479     10.367240
   0.45596     10.266103     10.265879
   0.53195     10.131624     10.131365
   0.60794      9.589276      9.588986
   0.68393      9.009672      9.009350
   0.75993      8.407569      8.407216
   0.83592      7.800225      7.799847
   0.91191      7.209033      7.208642
   0.98791      7.329508      7.329028
   1.06390      7.740472      7.739996
   1.13989      8.125179      8.124712
   1.21588      8.452592      8.452145
   1.29188      8.693094      8.692671
   1.36787      8.834093      8.833691
   1.44386      8.879617      8.879223
   1.44386      8.879617      8.879223
   1.48774      8.903329      8.902934
   1.53161      8.973638      8.973240
   1.57548      9.088247      9.087845
   1.61936      9.243370      9.242963
   1.66323      9.433947      9.433530
   1.70711      9.654176      9.653747
   1.75098      9.896756      9.896312
   1.79486     10.154475     10.154011
   1.83873     10.419723     10.419238
   1.88261     10.685209     10.684700
   1.92648     10.944848     10.944316
   1.97035     11.193944     11.193391
   2.01423     11.335115     11.334740
   2.05810     11.135353     11.134967
   2.10198     10.967755     10.967360
   2.14585     10.835626     10.835224
   2.18973     10.741124     10.740718
   2.23360     10.684942     10.684533
   2.27748     10.666531     10.666121
   2.27748     10.666531     10.666121
   2.36522     10.735363     10.734956
   2.45297     10.923945     10.923548
